month,date,hour,output
8,14,4,-0.0017440
8,14,5,-0.0017440
8,14,6,-0.0017440
8,14,7,0.0044560
8,14,8,0.1496880
8,14,9,0.3691360
8,14,10,0.6004320
8,14,11,0.7438800
8,14,12,0.8731200
8,14,13,0.8998400
8,14,14,0.8725600
8,14,15,0.7834480
8,14,16,0.6869680
8,14,17,0.5340880
8,14,18,0.3071040
8,14,19,0.1029280
8,14,20,-0.0017440
8,14,21,-0.0017440
8,14,22,-0.0017440
8,14,23,-0.0017440
8,14,24,-0.0017440
8,15,1,-0.0017440
8,15,2,-0.0017440
8,15,3,-0.0017440
8,15,4,-0.0017440
8,15,5,-0.0017440
8,15,6,-0.0017440
8,15,7,0.0035280
8,15,8,0.0117440
8,15,9,0.0894080
8,15,10,0.3043920
8,15,11,0.7080160
8,15,12,0.5976000
8,15,13,0.6024000
8,15,14,0.5725600
8,15,15,0.5885040
8,15,16,0.4451280
8,15,17,0.3842240
8,15,18,0.1097120
8,15,19,0.0799200
8,15,20,-0.0017440
8,15,21,-0.0017440
8,15,22,-0.0017440
8,15,23,-0.0017440
8,15,24,-0.0017440
8,16,1,-0.0017440
8,16,2,-0.0017440
8,16,3,-0.0017440
8,16,4,-0.0017440
8,16,5,-0.0017440
8,16,6,-0.0017440
8,16,7,0.0039760
8,16,8,0.1298400
8,16,9,0.3487920
8,16,10,0.5967040
8,16,11,0.7893040
8,16,12,0.8217600
8,16,13,0.8828800
8,16,14,0.7668960
8,16,15,0.6379600
8,16,16,0.6300880
8,16,17,0.4222560
8,16,18,0.2432000
8,16,19,0.0866480
8,16,20,-0.0017440
8,16,21,-0.0017440
8,16,22,-0.0017440
8,16,23,-0.0017440
8,16,24,-0.0017440
8,17,1,-0.0017440
8,17,2,-0.0017440
8,17,3,-0.0017440
8,17,4,-0.0017440
8,17,5,-0.0017440
8,17,6,-0.0017440
8,17,7,0.0041600
8,17,8,0.1646960
8,17,9,0.4416640
8,17,10,0.6922640
8,17,11,0.8768800
8,17,12,0.9904800
8,17,13,1.0414400
8,17,14,1.0279200
8,17,15,0.9489600
8,17,16,0.8088000
8,17,17,0.6087520
8,17,18,0.3586000
8,17,19,0.1043680
8,17,20,-0.0017440
8,17,21,-0.0017440
8,17,22,-0.0017440
8,17,23,-0.0017440
8,17,24,-0.0017440
8,18,1,-0.0017440
8,18,2,-0.0017440
8,18,3,-0.0017440
8,18,4,-0.0017440
8,18,5,-0.0017440
8,18,6,-0.0017440
8,18,7,0.0037360
8,18,8,0.1650240
8,18,9,0.4388320
8,18,10,0.6816320
8,18,11,0.8598400
8,18,12,0.9751200
8,18,13,1.0220000
8,18,14,1.0124000
8,18,15,0.9364800
8,18,16,0.8044000
8,18,17,0.6074400
8,18,18,0.3597840
8,18,19,0.1035680
8,18,20,-0.0017440
8,18,21,-0.0017440
8,18,22,-0.0017440
8,18,23,-0.0017440
8,18,24,-0.0017440
8,19,1,-0.0017440
8,19,2,-0.0017440
8,19,3,-0.0017440
8,19,4,-0.0017440
8,19,5,-0.0017440
8,19,6,-0.0017440
8,19,7,0.0034480
8,19,8,0.1770320
8,19,9,0.4786400
8,19,10,0.7482720
8,19,11,0.9459200
8,19,12,1.0685600
8,19,13,1.1050400
8,19,14,1.0950400
8,19,15,1.0227200
8,19,16,0.8713600
8,19,17,0.6522480
8,19,18,0.3752000
8,19,19,0.1011760
8,19,20,-0.0017440
8,19,21,-0.0017440
8,19,22,-0.0017440
8,19,23,-0.0017440
8,19,24,-0.0017440
8,20,1,-0.0017440
8,20,2,-0.0017440
8,20,3,-0.0017440
8,20,4,-0.0017440
8,20,5,-0.0017440
8,20,6,-0.0017440
8,20,7,-0.0017440
8,20,8,0.1696480
8,20,9,0.4594240
8,20,10,0.7189120
8,20,11,0.9127200
8,20,12,1.0368000
8,20,13,1.0876800
8,20,14,1.0740800
8,20,15,0.9980800
8,20,16,0.8544800
8,20,17,0.6462160
8,20,18,0.3788960
8,20,19,0.1037200
8,20,20,-0.0017440
8,20,21,-0.0017440
8,20,22,-0.0017440
8,20,23,-0.0017440
8,20,24,-0.0017440
8,21,1,-0.0017440
8,21,2,-0.0017440
8,21,3,-0.0017440
8,21,4,-0.0017440
8,21,5,-0.0017440
8,21,6,-0.0017440
8,21,7,-0.0017440
8,21,8,0.1697360
8,21,9,0.4659600
8,21,10,0.7313920
8,21,11,0.9304000
8,21,12,1.0563200
8,21,13,1.1039200
8,21,14,1.0899200
8,21,15,1.0101600
8,21,16,0.8594400
8,21,17,0.6404000
8,21,18,0.3687360
8,21,19,0.0977920
8,21,20,-0.0017440
8,21,21,-0.0017440
8,21,22,-0.0017440
8,21,23,-0.0017440
8,21,24,-0.0017440
8,22,1,-0.0017440
8,22,2,-0.0017440
8,22,3,-0.0017440
8,22,4,-0.0017440
8,22,5,-0.0017440
8,22,6,-0.0017440
8,22,7,-0.0017440
8,22,8,0.1523120
8,22,9,0.4018960
8,22,10,0.6337680
8,22,11,0.8272000
8,22,12,0.9520800
8,22,13,1.0092000
8,22,14,1.0062400
8,22,15,0.9121600
8,22,16,0.7866000
8,22,17,0.5976960
8,22,18,0.3440720
8,22,19,0.0940160
8,22,20,-0.0017440
8,22,21,-0.0017440
8,22,22,-0.0017440
8,22,23,-0.0017440
8,22,24,-0.0017440
8,23,1,-0.0017440
8,23,2,-0.0017440
8,23,3,-0.0017440
8,23,4,-0.0017440
8,23,5,-0.0017440
8,23,6,-0.0017440
8,23,7,-0.0017440
8,23,8,0.1639760
8,23,9,0.4562800
8,23,10,0.7200080
8,23,11,0.9192000
8,23,12,1.0435200
8,23,13,1.0958400
8,23,14,1.0847200
8,23,15,1.0055200
8,23,16,0.8544000
8,23,17,0.6399920
8,23,18,0.3672960
8,23,19,0.0950480
8,23,20,-0.0017440
8,23,21,-0.0017440
8,23,22,-0.0017440
8,23,23,-0.0017440
8,23,24,-0.0017440
8,24,1,-0.0017440
8,24,2,-0.0017440
8,24,3,-0.0017440
8,24,4,-0.0017440
8,24,5,-0.0017440
8,24,6,-0.0017440
8,24,7,-0.0017440
8,24,8,0.1620800
8,24,9,0.4484960
8,24,10,0.7108800
8,24,11,0.9062400
8,24,12,1.0265600
8,24,13,1.0804000
8,24,14,1.0696000
8,24,15,0.9879200
8,24,16,0.8407200
8,24,17,0.6266800
8,24,18,0.3601600
8,24,19,0.0915920
8,24,20,-0.0017440
8,24,21,-0.0017440
8,24,22,-0.0017440
8,24,23,-0.0017440
8,24,24,-0.0017440
8,25,1,-0.0017440
8,25,2,-0.0017440
8,25,3,-0.0017440
8,25,4,-0.0017440
8,25,5,-0.0017440
8,25,6,-0.0017440
8,25,7,-0.0017440
8,25,8,0.1649280
8,25,9,0.4528640
8,25,10,0.7142480
8,25,11,0.9096000
8,25,12,1.0278400
8,25,13,1.0787200
8,25,14,1.0641600
8,25,15,0.9815200
8,25,16,0.8391200
8,25,17,0.6260160
8,25,18,0.3607680
8,25,19,0.0910000
8,25,20,-0.0017440
8,25,21,-0.0017440
8,25,22,-0.0017440
8,25,23,-0.0017440
8,25,24,-0.0017440
8,26,1,-0.0017440
8,26,2,-0.0017440
8,26,3,-0.0017440
8,26,4,-0.0017440
8,26,5,-0.0017440
8,26,6,-0.0017440
8,26,7,-0.0017440
8,26,8,0.1608720
8,26,9,0.4459760
8,26,10,0.7026320
8,26,11,0.8968800
8,26,12,1.0228000
8,26,13,1.0781600
8,26,14,1.0644800
8,26,15,0.9856000
8,26,16,0.8420800
8,26,17,0.6277280
8,26,18,0.3620160
8,26,19,0.0901120
8,26,20,-0.0017440
8,26,21,-0.0017440
8,26,22,-0.0017440
8,26,23,-0.0017440
8,26,24,-0.0017440
8,27,1,-0.0017440
8,27,2,-0.0017440
8,27,3,-0.0017440
8,27,4,-0.0017440
8,27,5,-0.0017440
8,27,6,-0.0017440
8,27,7,-0.0017440
8,27,8,0.1580000
8,27,9,0.4363520
8,27,10,0.6911200
8,27,11,0.8828000
8,27,12,1.0053600
8,27,13,1.0591200
8,27,14,1.0488800
8,27,15,0.9707200
8,27,16,0.8255200
8,27,17,0.6152880
8,27,18,0.3544800
8,27,19,0.0866000
8,27,20,-0.0017440
8,27,21,-0.0017440
8,27,22,-0.0017440
8,27,23,-0.0017440
8,27,24,-0.0017440
8,28,1,-0.0017440
8,28,2,-0.0017440
8,28,3,-0.0017440
8,28,4,-0.0017440
8,28,5,-0.0017440
8,28,6,-0.0017440
8,28,7,-0.0017440
8,28,8,0.1390480
8,28,9,0.3694080
8,28,10,0.6019520
8,28,11,0.7756160
8,28,12,0.8777600
8,28,13,0.8995200
8,28,14,0.8926400
8,28,15,0.7993040
8,28,16,0.6413280
8,28,17,0.5044080
8,28,18,0.2829840
8,28,19,0.0752720
8,28,20,-0.0017440
8,28,21,-0.0017440
8,28,22,-0.0017440
8,28,23,-0.0017440
8,28,24,-0.0017440
8,29,1,-0.0017440
8,29,2,-0.0017440
8,29,3,-0.0017440
8,29,4,-0.0017440
8,29,5,-0.0017440
8,29,6,-0.0017440
8,29,7,-0.0017440
8,29,8,0.0526000
8,29,9,0.1361200
8,29,10,0.2272640
8,29,11,0.2978240
8,29,12,0.3303360
8,29,13,0.4087760
8,29,14,0.3964400
8,29,15,0.3392240
8,29,16,0.2854160
8,29,17,0.1919600
8,29,18,0.1141920
8,29,19,0.0338160
8,29,20,-0.0017440
8,29,21,-0.0017440
8,29,22,-0.0017440
8,29,23,-0.0017440
8,29,24,-0.0017440
8,30,1,-0.0017440
8,30,2,-0.0017440
8,30,3,-0.0017440
8,30,4,-0.0017440
8,30,5,-0.0017440
8,30,6,-0.0017440
8,30,7,-0.0017440
8,30,8,0.1566720
8,30,9,0.4377040
8,30,10,0.6930720
8,30,11,0.8838400
8,30,12,0.9995200
8,30,13,1.0505600
8,30,14,1.0366400
8,30,15,0.9542400
8,30,16,0.8047200
8,30,17,0.5937440
8,30,18,0.3340800
8,30,19,0.0800640
8,30,20,-0.0017440
8,30,21,-0.0017440
8,30,22,-0.0017440
8,30,23,-0.0017440
8,30,24,-0.0017440
8,31,1,-0.0017440
8,31,2,-0.0017440
8,31,3,-0.0017440
8,31,4,-0.0017440
8,31,5,-0.0017440
8,31,6,-0.0017440
8,31,7,-0.0017440
8,31,8,0.1726000
8,31,9,0.4794640
8,31,10,0.7531840
8,31,11,0.9544800
8,31,12,1.0772800
8,31,13,1.1113600
8,31,14,1.0982400
8,31,15,1.0112800
8,31,16,0.8508000
8,31,17,0.6215680
8,31,18,0.3376080
8,31,19,0.0726560
8,31,20,-0.0017440
8,31,21,-0.0017440
8,31,22,-0.0017440
8,31,23,-0.0017440
8,31,24,-0.0017440
9,1,1,-0.0017440
9,1,2,-0.0017440
9,1,3,-0.0017440
9,1,4,-0.0017440
9,1,5,-0.0017440
9,1,6,-0.0017440
9,1,7,-0.0017440
9,1,8,0.1950320
9,1,9,0.5208720
9,1,10,0.8025600
9,1,11,1.0042400
9,1,12,1.1246400
9,1,13,1.1273600
9,1,14,1.1161600
9,1,15,1.0577600
9,1,16,0.8909600
9,1,17,0.6537760
9,1,18,0.3614640
9,1,19,0.0746640
9,1,20,-0.0017440
9,1,21,-0.0017440
9,1,22,-0.0017440
9,1,23,-0.0017440
9,1,24,-0.0017440
9,2,1,-0.0017440
9,2,2,-0.0017440
